pasal,pasal_text
1,"Pasal 1
Dalam Peraturan Anggota Dewan Gubernur ini yang dimaksud
dengan:
1. Sistem Pembayaran adalah suatu sistem yang mencakup
seperangkat aturan, lembaga, mekanisme, infrastruktur,
sumber dana untuk pembayaran, dan akses ke sumber
dana untuk pembayaran, yang digunakan untuk3
melaksanakan pemindahan dana guna memenuhi suatu
kewajiban yang timbul dari suatu kegiatan ekonomi.
2. Bank adalah bank umum dan bank perkreditan rakyat
sebagaimana dimaksud dalam Undang-Undang mengenai
perbankan, termasuk kantor cabang bank asing di
Indonesia, dan bank umum syariah serta bank
pembiayaan rakyat syariah sebagaimana dimaksud dalam
Undang-Undang mengenai perbankan syariah.
3. Lembaga Selain Bank adalah badan usaha berbadan
hukum Indonesia bukan Bank.
4. Penyedia Jasa Pembayaran yang selanjutnya disingkat
PJP adalah Bank atau Lembaga Selain Bank yang
menyediakan jasa untuk memfasilitasi transaksi
pembayaran kepada pengguna jasa.
5. Penyelenggara Infrastruktur Sistem Pembayaran yang
selanjutnya disebut PIP adalah pihak yang
menyelenggarakan infrastruktur sebagai sarana yang
dapat digunakan untuk melakukan pemindahan dana
bagi kepentingan anggotanya.
6. Penyelenggara Penunjang adalah pihak yang bekerja sama
dengan PJP dan PIP untuk menunjang penyelenggaraan
kegiatan jasa Sistem Pembayaran.
7. Pengguna Jasa adalah pihak yang menggunakan jasa dari
PJP.
8. Penyedia Barang dan/atau Jasa adalah pihak yang
menjual barang dan/atau jasa yang menerima
pembayaran dari Pengguna Jasa.
9. Self-Regulatory Organization di bidang Sistem Pembayaran
yang selanjutnya disebut SRO adalah suatu forum atau
institusi yang berbadan hukum Indonesia yang mewakili
industri dan ditetapkan oleh Bank Indonesia untuk
mendukung penyelenggaraan Sistem Pembayaran.
10. Penyelenggara Sistem Pembayaran Sistemik yang
selanjutnya disingkat PSPS adalah PJP dan PIP yang
memiliki dampak sistemik terhadap Sistem Pembayaran
dan/atau sistem keuangan dalam hal PJP dan PIP
mengalami gangguan atau kegagalan.4
11. Penyelenggara Sistem Pembayaran Kritikal yang
selanjutnya disingkat PSPK adalah PJP dan PIP yang
memiliki dampak kritikal terhadap Sistem Pembayaran
dan/atau sistem keuangan dalam hal PJP dan PIP
mengalami gangguan atau kegagalan.
12. Penyelenggara Sistem Pembayaran Umum yang
selanjutnya disingkat PSPU adalah PJP dan PIP yang tidak
memiliki dampak signifikan terhadap Sistem Pembayaran
dan/atau sistem keuangan dalam hal PJP dan PIP
mengalami gangguan atau kegagalan.
13. Sumber Dana untuk Pembayaran yang selanjutnya
disebut Sumber Dana adalah sumber dana yang
digunakan untuk memenuhi kewajiban dalam transaksi
pembayaran dan ditatausahakan dalam suatu akun untuk
pembayaran.
14. Layanan Keuangan Digital yang selanjutnya disingkat LKD
adalah kegiatan layanan jasa Sistem Pembayaran dan
keuangan yang dilakukan oleh PJP yang
menyelenggarakan aktivitas penatausahaan Sumber Dana
berupa penerbitan uang elektronik melalui kerja sama
dengan pihak ketiga serta menggunakan sarana dan
perangkat teknologi berbasis mobile atau piranti digital
lainnya untuk ekonomi digital dan keuangan inklusif."
2,"Pasal 2
Ruang lingkup pengaturan penyelenggaraan Sistem
Pembayaran oleh PJP dan PIP meliputi:
a. perizinan PJP dan penetapan PIP;
b. penyelenggaraan Sistem Pembayaran;
c. inovasi teknologi Sistem Pembayaran;
d. pengawasan Sistem Pembayaran; dan
e. SRO."
3,"Pasal 3
Perizinan bagi PJP dan penetapan bagi PIP dilaksanakan sesuai
dengan ketentuan Peraturan Bank Indonesia mengenai sistem
pembayaran."
4,"Pasal 4
(1) Pengaturan aspek kelembagaan berupa kepemilikan dan
pengendalian bagi Lembaga Selain Bank yang mengajukan
permohonan perizinan sebagai PJP atau penetapan
sebagai PIP dilaksanakan sesuai dengan ketentuan
Peraturan Bank Indonesia mengenai sistem pembayaran.
(2) Penghitungan kepemilikan sebagaimana dimaksud pada
ayat (1) berupa komposisi kepemilikan saham dilakukan
dengan ketentuan:
a. porsi kepemilikan saham asing dihitung sesuai
kepemilikan secara langsung dan tidak langsung;
b. kepemilikan secara langsung dihitung berdasarkan 1
(satu) jenjang kepemilikan saham di atas Lembaga
Selain Bank yang mengajukan permohonan; dan
c. kepemilikan tidak langsung dihitung sampai dengan
pemegang saham akhir (ultimate shareholder).
(3) Penghitungan pengendalian sebagaimana dimaksud pada
ayat (1) berupa komposisi saham dengan hak suara
dilakukan secara kolektif pada masing-masing jenjang
kepemilikan sampai pemegang saham akhir (ultimate
shareholder) dengan hak suara terbesar secara individual
dimiliki oleh pihak domestik.6
(4) Pengaturan aspek kelembagaan berupa kepemilikan dan
pengendalian sebagaimana dimaksud pada ayat (1) tetap
dipenuhi oleh Lembaga Selain Bank yang telah
memperoleh izin sebagai PJP atau ditetapkan menjadi PIP.
(5) Dalam mengawasi penyelenggaraan aktivitas PJP
dan/atau PIP, Bank Indonesia dapat menetapkan
kebijakan mengenai penilaian komposisi kepemilikan
dan/atau pengendalian PJP dan/atau PIP berupa Lembaga
Selain Bank, termasuk yang berbentuk perseroan terbuka,
dengan mempertimbangkan:
a. skala materialitas; dan/atau
b. aspek lainnya untuk memastikan terciptanya titik
keseimbangan antara inovasi dengan stabilitas dan
kepentingan nasional.
(6) Dalam hal terdapat perbedaan penilaian komposisi
kepemilikan saham dan/atau pengendalian antara Bank
Indonesia dengan calon PJP, PJP, pihak yang akan
ditetapkan menjadi PIP, dan/atau PIP berupa Lembaga
Selain Bank, penilaian yang digunakan merupakan
penilaian yang ditetapkan Bank Indonesia.
(7) Pedoman tata cara dan contoh penghitungan kepemilikan
dan pengendalian beserta perubahannya dipublikasikan
melalui laman Bank Indonesia atau media lain yang
ditetapkan Bank Indonesia."
5,"Pasal 5
(1) Bank Indonesia dapat memberikan izin sebagai PJP atau
penetapan menjadi PIP secara bersyarat (conditional
approval) yang dilakukan dengan:
a. peniadaan salah satu tahap perizinan atau
penetapan; dan/atau
b. penetapan jangka waktu tertentu.7
(2) Pemberian izin sebagai PJP atau penetapan menjadi PIP
secara bersyarat (conditional approval) sebagaimana
dimaksud pada ayat (1) dilakukan dalam kondisi tertentu
meliputi:
a. pandemi;
b. bencana alam; dan/atau
c. kondisi lain yang ditetapkan Bank Indonesia.
(3) Mekanisme dan tata cara pengajuan pemberian izin dan
pemberian penetapan secara bersyarat dalam kondisi
pandemi sebagaimana dimaksud pada ayat (2) huruf a
dilakukan sesuai dengan ketentuan Peraturan Bank
Indonesia mengenai penyesuaian pelaksanaan beberapa
ketentuan Bank Indonesia sebagai dampak pandemi
corona virus disease 2019 (Covid-19).
(4) Ketentuan mengenai mekanisme dan tata cara pengajuan
pemberian izin dan pemberian penetapan secara bersyarat
sebagaimana dimaksud pada ayat (3) berlaku secara
mutatis mutandis terhadap mekanisme dan tata cara
pengajuan pemberian izin dan pemberian penetapan
secara bersyarat dalam kondisi bencana alam
sebagaimana dimaksud pada ayat (2) huruf b dan kondisi
lain yang ditetapkan Bank Indonesia sebagaimana
dimaksud pada ayat (2) huruf c.
(5) Dalam hal terjadi kondisi tertentu sebagaimana dimaksud
pada ayat (2), Bank Indonesia berwenang untuk tetap
melakukan pemrosesan dan memberikan izin atau
penetapan sesuai dengan mekanisme dan tata cara yang
diatur dalam ketentuan Peraturan Bank Indonesia
mengenai sistem pembayaran.
(6) Dalam hal Bank Indonesia memberikan izin sebagai PJP
atau penetapan menjadi PIP secara bersyarat (conditional
approval) sebagaimana dimaksud pada ayat (1), Bank
Indonesia mempunyai kewenangan untuk membatalkan
izin atau penetapan yang diberikan.
(7) Dalam hal Bank Indonesia membatalkan izin atau
penetapan yang diberikan sebagaimana dimaksud pada
ayat (6), PJP dan/atau PIP harus menyelesaikan kewajiban8
kepada Pengguna Jasa dan/atau pihak yang bekerja sama
dalam penyelenggaraan Sistem Pembayaran sebelum izin
atau penetapan dibatalkan oleh Bank Indonesia.
(8) Tata cara penyelesaian kewajiban oleh PJP dan/atau PIP
sebagaimana dimaksud pada ayat (7) dilaksanakan sesuai
dengan Peraturan Bank Indonesia mengenai sistem
pembayaran."
6,"Pasal 6
(1) Pengaturan mengenai skema harga dilaksanakan sesuai
dengan ketentuan Peraturan Bank Indonesia mengenai
sistem pembayaran dan ketentuan Peraturan Bank
Indonesia mengenai perlindungan konsumen Bank
Indonesia.
(2) Dalam penetapan kebijakan skema harga, Bank Indonesia
dapat meminta PJP dan PIP untuk menyampaikan data
dan/atau informasi mengenai skema harga dalam
penyelenggaraan Sistem Pembayaran.
(3) Penyampaian data dan/atau informasi mengenai skema
harga dalam penyelenggaraan Sistem Pembayaran
sebagaimana dimaksud pada ayat (2) dilaksanakan sesuai
dengan ketentuan Peraturan Bank Indonesia mengenai
sistem pembayaran."
7,"Pasal 7
(1) Kewajiban permodalan Sistem Pembayaran dipenuhi oleh
PJP dan PIP melalui penyediaan modal selama
penyelenggaraan kegiatan usaha (ongoing capital)9
sebagaimana diatur dalam ketentuan Peraturan Bank
Indonesia mengenai penyedia jasa pembayaran dan
ketentuan Peraturan Bank Indonesia mengenai
penyelenggara infrastruktur sistem pembayaran.
(2) Dalam penghitungan penyediaan modal selama
penyelenggaraan kegiatan usaha (ongoing capital)
sebagaimana dimaksud pada ayat (1), penghitungan
komponen nominal transaksi dilakukan dengan basis
penghitungan secara rata-rata bulanan dalam 1 (satu)
tahun pelaporan.
(3) Pedoman tata cara penghitungan penyediaan modal
selama penyelenggaraan kegiatan usaha (ongoing capital)
beserta perubahannya dipublikasikan melalui laman Bank
Indonesia atau media lain yang ditetapkan Bank
Indonesia."
8,"Pasal 8
(1) Auditor teknologi informasi independen eksternal yang
akan melaksanakan audit teknologi informasi bagi PSPS,
PSPK, dan PSPU guna pemenuhan kewajiban manajemen
risiko dan standar keamanan sistem informasi merupakan
auditor teknologi informasi independen eksternal yang
terdaftar di SRO.
(2) Dalam hal daftar auditor teknologi informasi independen
eksternal sebagaimana dimaksud pada ayat (1) belum
tersedia di SRO maka PSPS, PSPK, dan PSPU dapat
menggunakan auditor teknologi informasi independen
eksternal yang terdaftar di otoritas lain."
9,"Pasal 9
(1) Selama masih dalam proses persetujuan pengembangan
aktivitas, pengembangan produk, dan/atau kerja sama,
PJP atau PIP dapat menguji kesiapan penyelenggaraan
pengembangan aktivitas, pengembangan produk,
dan/atau kerja sama dengan ketentuan:
a. uji coba dilakukan pada Pengguna Jasa dan cakupan
wilayah terbatas dengan jangka waktu tertentu
berdasarkan persetujuan Bank Indonesia; dan
b. menyampaikan laporan kepada Bank Indonesia
mengenai rencana pelaksanaan dan pengakhiran uji
coba yang terdiri atas:
1. laporan rencana pelaksanaan uji coba
disampaikan kepada Bank Indonesia paling
lambat 30 (tiga puluh) hari kalender sebelum
pelaksanaan uji coba; dan
2. laporan pengakhiran dan hasil pelaksanaan uji
coba disampaikan kepada Bank Indonesia
paling lama 10 (sepuluh) hari kalender setelah
tanggal uji coba berakhir.
(2) Penyampaian laporan rencana pelaksanaan uji coba
sebagaimana dimaksud pada ayat (1) huruf b angka 1
paling sedikit memuat:
a. tata cara atau mekanisme uji coba, termasuk
informasi jumlah Pengguna Jasa, cakupan wilayah,
dan/atau jangka waktu;
b. penerapan manajemen risiko; dan
c. penerapan perlindungan konsumen."
10,"Pasal 10
(1) Dalam hal PJP atau PIP telah memperoleh persetujuan
Bank Indonesia atas pengembangan aktivitas dan/atau
pengembangan produk yang disertai kerja sama dengan11
kategori risiko sedang atau risiko tinggi maka pengajuan
kerja sama berikutnya yang memiliki kesamaan model
bisnis dan skema kerja sama, cukup dilaporkan sebagai
kerja sama dengan kategori risiko rendah.
(2) Dalam menilai kesamaan model bisnis dan skema kerja
sama sebagaimana dimaksud pada ayat (1), Bank
Indonesia mempertimbangkan:
a. model bisnis yang dikerjasamakan sejenis atau sama;
b. tidak ada pengembangan produk atau aplikasi yang
dilakukan PJP atau PIP;
c. kerja sama yang sifatnya untuk kepesertaan dari PJP
atau PIP; dan/atau
d. aspek lainnya.
(3) Dalam hal terdapat kerja sama sebagaimana dimaksud
pada ayat (1) yang dilakukan antar-PJP atau antara PJP
dan PIP, Bank Indonesia dapat menentukan PJP atau PIP
yang akan mengajukan penyampaian laporan kerja sama."
