pasal,pasal_text
1,"Pasal 1
Dalam Peraturan Bank Indonesia ini yang dimaksud dengan:
1. Gerbang Pembayaran Nasional (National Payment
Gateway) yang selanjutnya disingkat GPN (NPG) adalah
sistem yang terdiri atas standar, switching, dan services
yang dibangun melalui seperangkat aturan dan
mekanisme (arrangement) untuk mengintegrasikan
berbagai instrumen dan kanal pembayaran secara
nasional.
2. Standar adalah spesifikasi teknis dan operasional yang
dibakukan.
3. Switching adalah switching sebagaimana dimaksud
dalam ketentuan Bank Indonesia yang mengatur
mengenai penyelenggaraan pemrosesan transaksi
pembayaran.
4. Services adalah layanan yang disediakan untuk
memenuhi kebutuhan industri sistem pembayaran ritel.
5. Lembaga Standar adalah lembaga yang menyusun dan
mengelola Standar dalam GPN (NPG).
6. Lembaga Switching adalah lembaga yang
menyelenggarakan Switching dalam GPN (NPG).
www.peraturan.go.id2017, No.134
-4-
7. Lembaga Services adalah lembaga yang mengelola fungsi
Services dalam GPN (NPG).
8. Bank adalah bank sebagaimana dimaksud dalam
Undang-Undang yang mengatur mengenai perbankan,
dan bank syariah sebagaimana dimaksud dalam
Undang-Undang yang mengatur mengenai perbankan
syariah.
9. Lembaga Selain Bank adalah badan usaha bukan Bank
yang berbadan hukum dan didirikan berdasarkan
hukum Indonesia.
10. Penerbit adalah penerbit sebagaimana dimaksud dalam
ketentuan Bank Indonesia yang mengatur mengenai alat
pembayaran dengan menggunakan kartu dan ketentuan
Bank Indonesia yang mengatur mengenai uang
elektronik.
11. Acquirer adalah acquirer sebagaimana dimaksud dalam
ketentuan Bank Indonesia yang mengatur mengenai alat
pembayaran dengan menggunakan kartu dan ketentuan
Bank Indonesia yang mengatur mengenai uang
elektronik.
12. Penyelenggara Payment Gateway adalah penyelenggara
payment gateway sebagaimana dimaksud dalam
ketentuan Bank Indonesia yang mengatur mengenai
penyelenggaraan pemrosesan transaksi pembayaran.
13. Anjungan Tunai Mandiri (Automated Teller Machine) yang
selanjutnya disingkat ATM adalah mesin yang dipakai
untuk kartu ATM dan/atau kartu debet sebagaimana
dimaksud dalam ketentuan Bank Indonesia yang
mengatur mengenai alat pembayaran dengan
menggunakan kartu.
www.peraturan.go.id2017, No."
2,"Pasal 2
Bank Indonesia menetapkan kebijakan GPN (NPG) melalui
interkoneksi Switching untuk mewujudkan interoperabilitas
sistem pembayaran nasional."
3,"Pasal 3
Ruang lingkup GPN (NPG) mencakup transaksi pembayaran
secara domestik yang meliputi:
a. interkoneksi Switching;
b. interkoneksi dan interoperabilitas kanal pembayaran
berupa kanal ATM, electronic data captured (EDC), agen,
payment gateway, dan kanal pembayaran lainnya; dan
c. interoperabilitas instrumen pembayaran berupa kartu
ATM dan/atau kartu debet, kartu kredit, uang
elektronik, dan instrumen pembayaran lainnya."
4,"Pasal 4
Pihak dalam GPN (NPG) meliputi:
a. penyelenggara GPN (NPG); dan
b. pihak yang terhubung dengan GPN (NPG)."
5,"Pasal 5
(1) Penyelenggara GPN (NPG) sebagaimana dimaksud dalam
Pasal 4 huruf a meliputi:
a. Lembaga Standar;
b. Lembaga Switching; dan
c. Lembaga Services.
(2) Pihak yang terhubung dengan GPN (NPG) sebagaimana
dimaksud dalam Pasal 4 huruf b meliputi:
a. Penerbit;
b. Acquirer;
www.peraturan.go.id2017, No.134
-6-
c. Penyelenggara Payment Gateway; dan
d. pihak lainnya yang ditetapkan oleh Bank Indonesia.
(3) Pihak yang terhubung dengan GPN (NPG) sebagaimana
dimaksud pada ayat (2) terdiri atas bank umum, bank
umum syariah, dan Lembaga Selain Bank.
(4) Bank perkreditan rakyat dan bank pembiayaan rakyat
syariah dapat terhubung dengan GPN (NPG) melalui
bank umum atau bank umum syariah.
(5) Ketentuan lebih lanjut mengenai hubungan antara
penyelenggara GPN (NPG) dengan pihak yang terhubung
dengan GPN (NPG) diatur dalam Peraturan Anggota
Dewan Gubernur."
6,"Pasal 6
(1) Lembaga Standar sebagaimana dimaksud dalam Pasal 5
ayat (1) huruf a ditetapkan oleh Bank Indonesia.
(2) Pihak yang dapat ditetapkan sebagai Lembaga Standar
harus memenuhi kriteria paling sedikit:
a. merupakan representasi dari industri sistem
pembayaran nasional;
b. berbadan hukum Indonesia; dan
c. memiliki kompetensi untuk menyusun,
mengembangkan, dan mengelola Standar dalam
rangka interkoneksi dan interoperabilitas berbagai
instrumen dan kanal pembayaran."
7,"Pasal 7
(1) Pihak yang akan melakukan kegiatan sebagai Lembaga
Standar harus mengajukan permohonan penetapan
sebagai Lembaga Standar secara tertulis dalam Bahasa
Indonesia kepada Bank Indonesia disertai dengan
www.peraturan.go.id2017, No.134
-7-
dokumen pendukung pemenuhan kriteria sebagaimana
dimaksud dalam Pasal 6 ayat (2).
(2) Dalam rangka memproses permohonan penetapan
sebagaimana dimaksud pada ayat (1), Bank Indonesia
melakukan:
a. penelitian administratif;
b. analisis kelayakan pihak yang mengajukan; dan
c. pemeriksaan terhadap pihak yang mengajukan,
dalam hal diperlukan.
(3) Berdasarkan hasil proses sebagaimana dimaksud pada
ayat (2), Bank Indonesia memutuskan untuk:
a. menyetujui; atau
b. menolak,
permohonan penetapan yang diajukan.
(4) Ketentuan lebih lanjut mengenai tata cara permohonan
penetapan menjadi Lembaga Standar diatur dalam
Peraturan Anggota Dewan Gubernur."
8,"Pasal 8
(1) Lembaga Standar memiliki fungsi menyusun,
mengembangkan, dan mengelola Standar untuk
interkoneksi dan interoperabilitas instrumen
pembayaran, kanal pembayaran, dan Switching, serta
security.
(2) Dalam rangka mengelola Standar sebagaimana
dimaksud pada ayat (1), Lembaga Standar memiliki
tugas:
a. mengelola dan melaksanakan proses sertifikasi
untuk memastikan kesesuaian instrumen dan/atau
kanal pembayaran dengan Standar;
b. mengelola dan menatausahakan vendor dan produk
terkait instrumen dan/atau kanal pembayaran yang
telah memenuhi Standar;
c. mengelola dan melaksanakan key management
sebagai certificate authority; dan
d. melaksanakan tugas lain yang ditetapkan oleh Bank
Indonesia.
www.peraturan.go.id2017, No.134
-8-
(3) Dalam rangka melindungi kepentingan publik,
kepemilikan atas Standar yang disusun, dikembangkan,
dan dikelola oleh Lembaga Standar berada pada Bank
Indonesia."
9,"Pasal 9
(1) Lembaga Standar bertanggung jawab untuk memastikan
keamanan dan keandalan teknologi informasi yang
digunakan dalam penyusunan, pengembangan dan
pengelolaan Standar.
(2) Lembaga Standar wajib menjaga kerahasiaan data dan
informasi terkait penyusunan dan pengelolaan Standar."
10,"Pasal 10
Lembaga Standar harus meminta persetujuan Bank Indonesia
atas hal yang bersifat strategis dalam melaksanakan fungsi
dan tugasnya."
